company,title,location,expertise/department,commitment,url,first_seen_at,last_seen_at,is_active
Appen,Video Collector - (English - France),France,AI Trainers - Domain Experts,Independent Contractor - Project Based,https://jobs.lever.co/appen/3e36c055-856a-49bd-a46e-d353f81064ba,2026-06-15T22:50:13+00:00,2026-06-16T01:07:56+00:00,1
Appen,Video Collector - (English - Italy),Italy,AI Trainers - Domain Experts,Independent Contractor - Project Based,https://jobs.lever.co/appen/94d0eacd-2fdf-4acd-b1ca-b48374fff9ac,2026-06-15T22:50:13+00:00,2026-06-16T01:07:56+00:00,1
Appen,Video Collector - (English - Mexico),Mexico,AI Trainers - Domain Experts,Independent Contractor - Project Based,https://jobs.lever.co/appen/aea92640-d286-41f7-982b-a1544a0947c5,2026-06-15T22:50:13+00:00,2026-06-16T01:07:56+00:00,1
Appen,Video Collector - (English - Spain),Spain,AI Trainers - Domain Experts,Independent Contractor - Project Based,https://jobs.lever.co/appen/3e018f04-d0ca-41e3-8dbe-404ced7d64ef,2026-06-15T22:50:13+00:00,2026-06-16T01:07:56+00:00,1
Appen,Video Collector - Canada Based,Canada,AI Trainers - Domain Experts,Independent Contractor - Project Based,https://jobs.lever.co/appen/d9d1cb4f-e017-488a-8791-205363a31329,2026-06-15T22:50:13+00:00,2026-06-16T01:07:56+00:00,1
Appen,Video Collector - US Based,United States,AI Trainers - Domain Experts,Independent Contractor - Project Based,https://jobs.lever.co/appen/ef3be214-afce-483b-ab65-d0e6cc3f5f1d,2026-06-15T22:50:13+00:00,2026-06-16T01:07:56+00:00,1
Appen,[Croatian] - Voice Recording Specialist,Croatia,AI Trainers - Domain Experts,Independent Contractor - Project Based,https://jobs.lever.co/appen/acc3af5c-cec6-4c2f-8711-bf0cd92455a9,2026-06-15T22:50:13+00:00,2026-06-16T01:07:56+00:00,1
Appen,[Czech] - Voice Recording Specialist,Czech Republic,AI Trainers - Domain Experts,Independent Contractor - Project Based,https://jobs.lever.co/appen/d97aa196-aee3-47cc-a615-b96e497c7612,2026-06-15T22:50:13+00:00,2026-06-16T01:07:56+00:00,1
Appen,社群媒體評估員（內容分析師）； 中文-台灣,Taiwan,AI Trainers - Domain Experts,Independent Contractor - Project Based,https://jobs.lever.co/appen/3c4e8c99-332d-48fb-a5d4-df93bed8a8e3,2026-06-15T22:50:13+00:00,2026-06-16T01:07:56+00:00,1
Invisible Technologies,Client Engineering Lead,United States - Remote,Unknown,,https://job-boards.eu.greenhouse.io/invisibletech/jobs/4866241101,2026-06-15T23:00:26+00:00,2026-06-16T01:07:57+00:00,1
Invisible Technologies,Enterprise Solutions Associate,"Austin, Texas - Hybrid; New York - Hybrid; San Francisco Bay Area - Hybrid; Washington DC–Baltimore - Hybrid",Unknown,,https://job-boards.eu.greenhouse.io/invisibletech/jobs/4649462101,2026-06-15T23:00:26+00:00,2026-06-16T01:07:57+00:00,1
Invisible Technologies,Enterprise Solutions Manager,"Austin, Texas - Hybrid; London - Hybrid; New York - Hybrid; San Francisco Bay Area - Hybrid; Washington DC–Baltimore - Hybrid",Unknown,,https://job-boards.eu.greenhouse.io/invisibletech/jobs/4649449101,2026-06-15T23:00:26+00:00,2026-06-16T01:07:57+00:00,1
Invisible Technologies,Head of AI Training Research,Worldwide - Remote,Unknown,,https://job-boards.eu.greenhouse.io/invisibletech/jobs/4893807101,2026-06-15T23:00:26+00:00,2026-06-16T01:07:57+00:00,1
Invisible Technologies,Principal Backend Engineer (Forward Deployed),"Austin, Texas - Hybrid; New York - Hybrid; San Francisco Bay Area - Hybrid",Unknown,,https://job-boards.eu.greenhouse.io/invisibletech/jobs/4697596101,2026-06-15T23:00:26+00:00,2026-06-16T01:07:57+00:00,1
Invisible Technologies,"Principal Software Engineer, Applied AI (Forward Deployed)",New York - Hybrid,Unknown,,https://job-boards.eu.greenhouse.io/invisibletech/jobs/4747339101,2026-06-15T23:00:26+00:00,2026-06-16T01:07:57+00:00,1
Invisible Technologies,Senior Enterprise Solutions Manager,United States - Remote,Unknown,,https://job-boards.eu.greenhouse.io/invisibletech/jobs/4812639101,2026-06-15T23:00:26+00:00,2026-06-16T01:07:57+00:00,1
Invisible Technologies,Senior Product Manager,New York - Hybrid,Unknown,,https://job-boards.eu.greenhouse.io/invisibletech/jobs/4780695101,2026-06-15T23:00:26+00:00,2026-06-16T01:07:57+00:00,1
Invisible Technologies,"Senior Software Engineer, Applied AI (Forward Deployed)",New York - Hybrid,Unknown,,https://job-boards.eu.greenhouse.io/invisibletech/jobs/4776875101,2026-06-15T23:00:26+00:00,2026-06-16T01:07:57+00:00,1
Invisible Technologies,"Staff Software Engineer, Applied AI (Forward Deployed)",New York - Hybrid,Unknown,,https://job-boards.eu.greenhouse.io/invisibletech/jobs/4822706101,2026-06-15T23:00:26+00:00,2026-06-16T01:07:57+00:00,1
Mercor,AI Safety Experts — English & Assamese,Remote,"Life, Physical, and Social Science",hourly,https://work.mercor.com/jobs/list_AAABnpAWb5MITgeY5UhGjZ5i,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
Mercor,AI Safety Experts — English & Bengali,Remote,Data Analysis,hourly,https://work.mercor.com/jobs/list_AAABnpAJcLi-0xCsfWJNYabf,2026-06-16T01:00:49+00:00,2026-06-16T01:07:59+00:00,1
