review_id,candidate_type,source,company,job_id,canonical_opportunity_id,external_id,source_hash,title,url,location,department,expertise,current_language,current_language_locale,current_required_languages,candidate_required_languages,candidate_language_locale,candidate_location_restriction,candidate_pattern,candidate_confidence,evidence_text,risk_notes,suggested_review_action,review_decision,human_required_languages,human_language_locale,human_location_restriction,human_notes,apply_eligible
omgr_oneforma_language-locale_language-parenthetical-locale_6854,language_locale,oneforma,OneForma,6854,542,oneforma::176234::11868,3eb89adeaf1bf7ed1c7370a539c88d4e3388357fe081b2890421198f1c3bed78,Acceptability and Preference: Translation Raters - English (United States) - Estonian (Estonia),https://my.oneforma.com/crowd/jobs/11868?from=list&tab=all,Worldwide,Translation,Translation,,,,English,English United States,,language_parenthetical_locale,high,title=Acceptability and Preference: Translation Raters - English (United States) - Estonian (Estonia); location=Worldwide; pattern=language_parenthetical_locale,Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
omgr_oneforma_language-locale_language-parenthetical-locale_6869,language_locale,oneforma,OneForma,6869,542,oneforma::176234::english-united-states-farsi-persian,7bb3f572af62d41682cefee66844c6292acd16beec0f7ae8f82bb0b2dbfc2d9a,Acceptability and Preference: Translation Raters - English (United States) - Farsi (Persian),https://my.oneforma.com/crowd/jobs/11912?from=list&tab=all,Worldwide,Translation,Translation,,,,English,English United States,,language_parenthetical_locale,high,title=Acceptability and Preference: Translation Raters - English (United States) - Farsi (Persian); location=Worldwide; pattern=language_parenthetical_locale,Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
omgr_oneforma_language-requirement_translation-or-translator_6839,language_requirement,oneforma,OneForma,6839,542,oneforma::176234::11906,3db9257bd8825e74c3cb79d825c399a7571ee92595384a644b787207e0ca9001,Acceptability and Preference: Translation Raters - Arabic (Saudi Arabia) - Bengali (India),https://my.oneforma.com/crowd/jobs/11906?from=list&tab=all,Worldwide,Translation,Translation,,,,arabic,,,translation_or_translator,medium,title=Acceptability and Preference: Translation Raters - Arabic (Saudi Arabia) - Bengali (India); location=Worldwide; pattern=translation_or_translator; value=arabic,Translation or multi-language title; verify whether all listed languages are required.,Confirm required language(s) or mark diagnostic only.,pending_review,,,,,yes
omgr_oneforma_language-requirement_translation-or-translator_6840,language_requirement,oneforma,OneForma,6840,542,oneforma::176234::11907,28e64bf3535aa93b8f82f0dcd56a0e583776d684f3c22c9affb0c23770e58d23,Acceptability and Preference: Translation Raters - Arabic (Saudi Arabia) - Gujarati (India),https://my.oneforma.com/crowd/jobs/11907?from=list&tab=all,Worldwide,Translation,Translation,,,,arabic,,,translation_or_translator,medium,title=Acceptability and Preference: Translation Raters - Arabic (Saudi Arabia) - Gujarati (India); location=Worldwide; pattern=translation_or_translator; value=arabic,Translation or multi-language title; verify whether all listed languages are required.,Confirm required language(s) or mark diagnostic only.,pending_review,,,,,yes
omgr_oneforma_language-requirement_translation-or-translator_6841,language_requirement,oneforma,OneForma,6841,542,oneforma::176234::11908,fc3ed72bbdbee6821102f71079f7af8fab9b3903e9cba79fd8afa3e533222f68,Acceptability and Preference: Translation Raters - Arabic (Saudi Arabia) - Hindi (India),https://my.oneforma.com/crowd/jobs/11908?from=list&tab=all,Worldwide,Translation,Translation,,,,"arabic, hindi",,,translation_or_translator,medium,"title=Acceptability and Preference: Translation Raters - Arabic (Saudi Arabia) - Hindi (India); location=Worldwide; pattern=translation_or_translator; value=arabic, hindi",Translation or multi-language title; verify whether all listed languages are required.,Confirm required language(s) or mark diagnostic only.,pending_review,,,,,yes
omgr_oneforma_language-requirement_translation-or-translator_6842,language_requirement,oneforma,OneForma,6842,542,oneforma::176234::11909,38a8ae90b333adcd3c41781541dda302e5cd2b72182314eec3c72abb3e636415,Acceptability and Preference: Translation Raters - Arabic (Saudi Arabia) - Kannada (India),https://my.oneforma.com/crowd/jobs/11909?from=list&tab=all,Worldwide,Translation,Translation,,,,arabic,,,translation_or_translator,medium,title=Acceptability and Preference: Translation Raters - Arabic (Saudi Arabia) - Kannada (India); location=Worldwide; pattern=translation_or_translator; value=arabic,Translation or multi-language title; verify whether all listed languages are required.,Confirm required language(s) or mark diagnostic only.,pending_review,,,,,yes
omgr_oneforma_language-requirement_translation-or-translator_6843,language_requirement,oneforma,OneForma,6843,542,oneforma::176234::arabic-saudi-arabia-malayalam-india,afbc48b80c1a49503b9646f29c99234958491985cf42d218cde54da41fc3b0c6,Acceptability and Preference: Translation Raters - Arabic (Saudi Arabia) - Malayalam (India),https://my.oneforma.com/crowd/jobs/11911?from=list&tab=all,Worldwide,Translation,Translation,,,,arabic,,,translation_or_translator,medium,title=Acceptability and Preference: Translation Raters - Arabic (Saudi Arabia) - Malayalam (India); location=Worldwide; pattern=translation_or_translator; value=arabic,Translation or multi-language title; verify whether all listed languages are required.,Confirm required language(s) or mark diagnostic only.,pending_review,,,,,yes
omgr_oneforma_language-requirement_translation-or-translator_6844,language_requirement,oneforma,OneForma,6844,542,oneforma::176234::arabic-saudi-arabia-marathi-india,db4aef8cc6dac9da8f1201cdc73f8ac314dd88593d6363a4c7f0747530a0c165,Acceptability and Preference: Translation Raters - Arabic (Saudi Arabia) - Marathi (India),https://my.oneforma.com/crowd/jobs/11912?from=list&tab=all,Worldwide,Translation,Translation,,,,arabic,,,translation_or_translator,medium,title=Acceptability and Preference: Translation Raters - Arabic (Saudi Arabia) - Marathi (India); location=Worldwide; pattern=translation_or_translator; value=arabic,Translation or multi-language title; verify whether all listed languages are required.,Confirm required language(s) or mark diagnostic only.,pending_review,,,,,yes
omgr_mercor_language-locale_language-dash-locale_9232,language_locale,mercor,Mercor,9232,,list_AAABnt9zSa62S6Ta1sFAVbcl,0a4338ba3e1d0663d4c36d76aff35dce5f94599338ec88e116bdfdd5fc3b7f11,Internet-Native Bilingual Evaluator Expert (Spanish – Latin America),https://work.mercor.com/jobs/list_AAABnt9zSa62S6Ta1sFAVbcl,Remote,"Life, Physical, and Social Science","Life, Physical, and Social Science",,,,Spanish,Spanish Latin America,,language_dash_locale,high,title=Internet-Native Bilingual Evaluator Expert (Spanish – Latin America); location=Remote; pattern=language_dash_locale,Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
omgr_mercor_language-locale_language-dash-locale_9231,language_locale,mercor,Mercor,9231,,list_AAABnt-IdFdW6Khkn2BM-oId,15d5fef2b2b2e3ad27d1240a9d1e2a26b658dd97d059c5a7cc0f720502285b24,Internet-Native Bilingual Evaluator Expert (Spanish – Spain),https://work.mercor.com/jobs/list_AAABnt-IdFdW6Khkn2BM-oId,Remote,Language and Audio,Language and Audio,,,,Spanish,Spanish Spain,,language_dash_locale,high,title=Internet-Native Bilingual Evaluator Expert (Spanish – Spain); location=Remote; pattern=language_dash_locale,Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
